stage,comparison_label,lang,file_count,unique_table_count,table_iaa,table_iaa_ci,node_iaa_macro,node_precision_macro,node_recall_macro,node_iaa_micro,node_precision_micro,node_recall_micro,node_iaa_ci_macro,node_path_iaa_macro,node_path_iaa_micro,node_path_iaa_ci_macro
stage1,annotator_C__vs__annotator_D,en,7,7,0.571429,0.571429,0.974885,0.967279,0.984239,0.953533,0.930435,0.977807,0.981260,0.571429,0.466539,0.572588
stage1,annotator_C__vs__annotator_D,both,7,7,0.571429,0.571429,0.974885,0.967279,0.984239,0.953533,0.930435,0.977807,0.981260,0.571429,0.466539,0.572588
stage1,ALL,en,7,7,0.571429,0.571429,0.974885,0.967279,0.984239,0.953533,0.930435,0.977807,0.981260,0.571429,0.466539,0.572588
stage1,ALL,both,7,7,0.571429,0.571429,0.974885,0.967279,0.984239,0.953533,0.930435,0.977807,0.981260,0.571429,0.466539,0.572588
stage2,annotator_A__vs__annotator_C,en,6,6,0.166667,0.166667,0.769156,0.769994,0.768976,0.958435,0.958904,0.957967,0.769156,0.269319,0.770660,0.269319
stage2,annotator_A__vs__annotator_C,both,6,6,0.166667,0.166667,0.769156,0.769994,0.768976,0.958435,0.958904,0.957967,0.769156,0.269319,0.770660,0.269319
stage2,ALL,en,6,6,0.166667,0.166667,0.769156,0.769994,0.768976,0.958435,0.958904,0.957967,0.769156,0.269319,0.770660,0.269319
stage2,ALL,both,6,6,0.166667,0.166667,0.769156,0.769994,0.768976,0.958435,0.958904,0.957967,0.769156,0.269319,0.770660,0.269319
stage3,annotator_A__vs__annotator_C,en,14,14,0.214286,0.214286,0.852816,0.862618,0.852320,0.850640,0.851852,0.849432,0.852816,0.566651,0.480797,0.566651
stage3,annotator_A__vs__annotator_C,both,14,14,0.214286,0.214286,0.852816,0.862618,0.852320,0.850640,0.851852,0.849432,0.852816,0.566651,0.480797,0.566651
stage3,annotator_A__vs__annotator_D,en,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
stage3,annotator_A__vs__annotator_D,both,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
stage3,annotator_A__vs__annotator_E,zh,15,15,0.000000,0.000000,0.682726,0.704950,0.671669,0.724573,0.731634,0.717647,0.682726,0.346835,0.347439,0.346835
stage3,annotator_A__vs__annotator_E,both,15,15,0.000000,0.000000,0.682726,0.704950,0.671669,0.724573,0.731634,0.717647,0.682726,0.346835,0.347439,0.346835
stage3,annotator_C__vs__annotator_A,en,8,8,0.250000,0.250000,0.799170,0.808865,0.790308,0.849112,0.864458,0.834302,0.799170,0.584764,0.624260,0.584764
stage3,annotator_C__vs__annotator_A,both,8,8,0.250000,0.250000,0.799170,0.808865,0.790308,0.849112,0.864458,0.834302,0.799170,0.584764,0.624260,0.584764
stage3,annotator_C__vs__annotator_D,en,7,7,0.142857,0.142857,0.651775,0.676811,0.636411,0.685380,0.736181,0.641138,0.663680,0.228999,0.121637,0.228999
stage3,annotator_C__vs__annotator_D,both,7,7,0.142857,0.142857,0.651775,0.676811,0.636411,0.685380,0.736181,0.641138,0.663680,0.228999,0.121637,0.228999
stage3,annotator_C__vs__annotator_E,zh,15,15,0.066667,0.066667,0.832067,0.841557,0.823829,0.827963,0.845039,0.811563,0.832067,0.319981,0.220644,0.319981
stage3,annotator_C__vs__annotator_E,both,15,15,0.066667,0.066667,0.832067,0.841557,0.823829,0.827963,0.845039,0.811563,0.832067,0.319981,0.220644,0.319981
stage3,annotator_D__vs__annotator_A,en,10,10,0.600000,0.600000,0.963408,0.958742,0.969498,0.974359,0.967413,0.981405,0.963408,0.922029,0.962051,0.922029
stage3,annotator_D__vs__annotator_A,both,10,10,0.600000,0.600000,0.963408,0.958742,0.969498,0.974359,0.967413,0.981405,0.963408,0.922029,0.962051,0.922029
stage3,annotator_D__vs__annotator_B,en,1,1,0.000000,0.000000,0.271186,0.195122,0.444444,0.271186,0.195122,0.444444,0.305085,0.000000,0.000000,0.000000
stage3,annotator_D__vs__annotator_B,both,1,1,0.000000,0.000000,0.271186,0.195122,0.444444,0.271186,0.195122,0.444444,0.305085,0.000000,0.000000,0.000000
stage3,annotator_D__vs__annotator_E,en,4,4,0.000000,0.000000,0.923089,0.911767,0.936758,0.929688,0.929688,0.929688,0.923089,0.403461,0.238281,0.403461
stage3,annotator_D__vs__annotator_E,zh,15,15,0.400000,0.400000,0.977775,0.979743,0.976521,0.975369,0.974170,0.976572,0.977775,0.753663,0.752463,0.753663
stage3,annotator_D__vs__annotator_E,both,19,19,0.315789,0.315789,0.966262,0.965433,0.968150,0.964419,0.963517,0.965323,0.966262,0.679936,0.629213,0.679936
stage3,ALL,en,45,45,0.288889,0.288889,0.833174,0.838108,0.835473,0.849194,0.858570,0.840021,0.835779,0.578852,0.517421,0.578852
stage3,ALL,zh,45,44,0.155556,0.155556,0.830856,0.842084,0.824006,0.848813,0.857383,0.840412,0.830856,0.473493,0.436068,0.473493
stage3,ALL,both,90,89,0.222222,0.222222,0.832015,0.840096,0.829739,0.848982,0.857911,0.840238,0.833318,0.526172,0.472248,0.526172
ALL,ALL,both,103,102,0.242718,0.242718,0.838063,0.844656,0.836700,0.880626,0.884376,0.876908,0.839634,0.514286,0.521285,0.514364
