annotator,reference,comparison_label,lang,sample_id,status,table_iaa,table_iaa_ci,node_precision,node_recall,node_iaa,node_tp,annotation_node_count,reference_node_count,node_precision_ci,node_recall_ci,node_iaa_ci,node_tp_ci,node_path_precision,node_path_recall,node_path_iaa,node_path_tp,annotation_path_node_count,reference_path_node_count,node_path_iaa_ci,annotation_path,reference_path
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,181,ok,0.000000,0.000000,0.695652,0.727273,0.711111,16,23,22,0.695652,0.727273,0.711111,16,0.086957,0.090909,0.088889,2,23,22,0.088889,IAA/stage3/annotator_A/en/181.json,workflow/1-annotated_json/data_en/181.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,185,ok,0.000000,0.000000,0.647059,0.785714,0.709677,11,17,14,0.647059,0.785714,0.709677,11,0.647059,0.785714,0.709677,11,17,14,0.709677,IAA/stage3/annotator_A/en/185.json,workflow/1-annotated_json/data_en/185.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,187,ok,0.000000,0.000000,0.866667,0.500000,0.634146,13,15,26,0.866667,0.500000,0.634146,13,0.666667,0.384615,0.487805,10,15,26,0.487805,IAA/stage3/annotator_A/en/187.JSON,workflow/1-annotated_json/data_en/187.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,190,ok,0.000000,0.000000,0.714286,0.600000,0.652174,15,21,25,0.714286,0.600000,0.652174,15,0.714286,0.600000,0.652174,15,21,25,0.652174,IAA/stage3/annotator_A/en/190.JSON,workflow/1-annotated_json/data_en/190.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,193,ok,1.000000,1.000000,1.000000,1.000000,1.000000,35,35,35,1.000000,1.000000,1.000000,35,1.000000,1.000000,1.000000,35,35,35,1.000000,IAA/stage3/annotator_A/en/193.json,workflow/1-annotated_json/data_en/193.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,201,ok,0.000000,0.000000,0.750000,0.750000,0.750000,9,12,12,0.750000,0.750000,0.750000,9,0.666667,0.666667,0.666667,8,12,12,0.666667,IAA/stage3/annotator_A/en/201.json,workflow/1-annotated_json/data_en/201.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,205,ok,0.000000,0.000000,0.863636,0.904762,0.883721,19,22,21,0.863636,0.904762,0.883721,19,0.454545,0.476190,0.465116,10,22,21,0.465116,IAA/stage3/annotator_A/en/205.JSON,workflow/1-annotated_json/data_en/205.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,209,ok,0.000000,0.000000,1.000000,1.000000,1.000000,13,13,13,1.000000,1.000000,1.000000,13,0.538462,0.538462,0.538462,7,13,13,0.538462,IAA/stage3/annotator_A/en/209.json,workflow/1-annotated_json/data_en/209.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,292,ok,0.000000,0.000000,1.000000,1.000000,1.000000,21,21,21,1.000000,1.000000,1.000000,21,0.857143,0.857143,0.857143,18,21,21,0.857143,IAA/stage3/annotator_A/en/292.json,workflow/1-annotated_json/data_en/292.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,296,ok,0.000000,0.000000,0.707692,0.807018,0.754098,46,65,57,0.707692,0.807018,0.754098,46,0.030769,0.035088,0.032787,2,65,57,0.032787,IAA/stage3/annotator_A/en/296.JSON,workflow/1-annotated_json/data_en/296.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,297,ok,0.000000,0.000000,0.885714,0.911765,0.898551,31,35,34,0.885714,0.911765,0.898551,31,0.028571,0.029412,0.028986,1,35,34,0.028986,IAA/stage3/annotator_A/en/297.json,workflow/1-annotated_json/data_en/297.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,303,ok,1.000000,1.000000,1.000000,1.000000,1.000000,13,13,13,1.000000,1.000000,1.000000,13,1.000000,1.000000,1.000000,13,13,13,1.000000,IAA/stage3/annotator_A/en/303.json,workflow/1-annotated_json/data_en/303.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,314,ok,0.000000,0.000000,0.945946,0.945946,0.945946,35,37,37,0.945946,0.945946,0.945946,35,0.405405,0.405405,0.405405,15,37,37,0.405405,IAA/stage3/annotator_A/en/314.json,workflow/1-annotated_json/data_en/314.json
annotator_A,annotator_C,annotator_A__vs__annotator_C,en,316,ok,1.000000,1.000000,1.000000,1.000000,1.000000,22,22,22,1.000000,1.000000,1.000000,22,1.000000,1.000000,1.000000,22,22,22,1.000000,IAA/stage3/annotator_A/en/316.json,workflow/1-annotated_json/data_en/316.json
