annotator,lang,file_count,table_iaa,table_iaa_ci,node_iaa_macro,node_precision_macro,node_recall_macro,node_iaa_micro,node_precision_micro,node_recall_micro,node_iaa_ci_macro,node_path_iaa_macro,node_path_iaa_micro,node_path_iaa_ci_macro
annotator_A,en,15,0.266667,0.266667,0.862628,0.871777,0.862165,0.863459,0.864583,0.862338,0.862628,0.595541,0.525358,0.595541
annotator_A,zh,15,0.000000,0.000000,0.682726,0.704950,0.671669,0.724573,0.731634,0.717647,0.682726,0.346835,0.347439,0.346835
annotator_A,both,30,0.133333,0.133333,0.772677,0.788363,0.766917,0.775047,0.780209,0.769953,0.772677,0.471188,0.412098,0.471188
annotator_C,en,15,0.200000,0.200000,0.730386,0.747240,0.718490,0.757675,0.794521,0.724095,0.735941,0.418740,0.343566,0.418740
annotator_C,zh,15,0.066667,0.066667,0.832067,0.841557,0.823829,0.827963,0.845039,0.811563,0.832067,0.319981,0.220644,0.319981
annotator_C,both,30,0.133333,0.133333,0.781227,0.794399,0.771159,0.795955,0.822372,0.771182,0.784004,0.369361,0.276621,0.369361
annotator_D,en,15,0.400000,0.400000,0.906508,0.895307,0.925764,0.932730,0.914975,0.951187,0.908768,0.722275,0.685640,0.722275
annotator_D,zh,15,0.400000,0.400000,0.977775,0.979743,0.976521,0.975369,0.974170,0.976572,0.977775,0.753663,0.752463,0.753663
annotator_D,both,30,0.400000,0.400000,0.942142,0.937525,0.951142,0.954574,0.945034,0.964308,0.943272,0.737969,0.719874,0.737969
ALL,en,45,0.288889,0.288889,0.833174,0.838108,0.835473,0.849194,0.858570,0.840021,0.835779,0.578852,0.517421,0.578852
ALL,zh,45,0.155556,0.155556,0.830856,0.842084,0.824006,0.848813,0.857383,0.840412,0.830856,0.473493,0.436068,0.473493
ALL,both,90,0.222222,0.222222,0.832015,0.840096,0.829739,0.848982,0.857911,0.840238,0.833318,0.526172,0.472248,0.526172
