id,language,domain,template_html,title,source,license_redistribution_note
1,en,Gov. & Public Svc.,en/html/1.html,U.S. Passport Renewal Application for Eligible Individuals,U.S. Department of State: https://eforms.state.gov/Forms/ds82_pdf.PDF,Source-site terms apply. Original source document is not redistributed by NEST.
2,en,Gov. & Public Svc.,en/html/2.html,Statement of Consent: U.S. Passport Issuance to a Child,U.S. Department of State: https://travel.state.gov/,Source-site terms apply. Original source document is not redistributed by NEST.
3,en,Gov. & Public Svc.,en/html/3.html,Statement of Non-Receipt of a U.S. Passport,U.S. Department of State: https://travel.state.gov/,Source-site terms apply. Original source document is not redistributed by NEST.
4,en,Gov. & Public Svc.,en/html/4.html,Request for Entry into Children's Passport Issuance Alert Program,U.S. Department of State: https://travel.state.gov/,Source-site terms apply. Original source document is not redistributed by NEST.
5,en,Business,en/html/5.html,PURCHASE ORDER,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
6,en,Business,en/html/6.html,Bill of Lading,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
7,en,Finance,en/html/7.html,Income Statement,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
8,en,Healthcare,en/html/8.html,Caregiver's checklist,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
9,en,Business,en/html/9.html,Receipt,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
10,en,Finance,en/html/10.html,Customer Refund Request Form,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
11,en,Business,en/html/11.html,DIGITAL PURCHASE ORDER,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
12,en,Education,en/html/12.html,DRIVING SCHOOL APPLICATION FORM SELF-CERTIFICATION PROGRAM,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
13,en,Education,en/html/13.html,NOTICE OF INTENT TO CONDUCT DMV's 30-HOUR BASIC INSTRUCTOR's COURSE,New York State: https://dmv.ny.gov/,Source-site terms apply. Original source document is not redistributed by NEST.
14,en,Education,en/html/14.html,"NOTICE OF ENROLLED,COMPLETED,AND DROPPED STUDENTS OF DMV'S 30-HOUR BASIC INSTRUCTOR’S COURSE",New York State: https://dmv.ny.gov/,Source-site terms apply. Original source document is not redistributed by NEST.
15,en,Education,en/html/15.html,Driving School Instructor Application Checklist,New York State Department of Motor Vehicles: https://dmv.ny.gov/forms/dtp423.pdf,Source-site terms apply. Original source document is not redistributed by NEST.
16,en,Education,en/html/16.html,CERTIFICATION OF DRIVING SCHOOL INSTRUCTOR TEST RESULTS,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
17,en,Gov. & Public Svc.,en/html/17.html,REQUEST FOR SECURE DOCUMENTS,New York State: https://dmv.ny.gov/,Source-site terms apply. Original source document is not redistributed by NEST.
18,en,Gov. & Public Svc.,en/html/18.html,Electronic Lien Transfer Application Form,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
19,en,Finance,en/html/19.html,Occupational Tax and Registration Return for Wagering,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
20,en,Finance,en/html/20.html,Paid Preparer Information Form,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
21,en,Finance,en/html/21.html,Collection Information Statement,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
22,en,Finance,en/html/22.html,Installment Agreement Request,U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/f9465.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
23,en,Finance,en/html/23.html,Estimate of Auto Repairs,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
24,en,Finance,en/html/24.html,FINANCIAL SECURITY EXEMPTION APPLICATION-STORAGE,New York State: https://dmv.ny.gov/,Source-site terms apply. Original source document is not redistributed by NEST.
25,en,Gov. & Public Svc.,en/html/25.html,CERTIFICATE OF REMOVAL OF VEHICLE FROM UNITED STATES AND CANADA,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
26,en,Gov. & Public Svc.,en/html/26.html,Power of Attorney Authorization for International Registration Plan Business,New York State: https://dmv.ny.gov/,Source-site terms apply. Original source document is not redistributed by NEST.
27,en,Gov. & Public Svc.,en/html/27.html,REQUEST FORM (ATTACHMENT B),Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
