Additional Information, Continued. Calculation Aid: See attached calculations.

Area Description. Note: Provide a separate calculation for each distinct area. Attach additional sheets as necessary. Measurements are to the outside surface of the exterior wall. The columns presented are Existing Sq Ft, New/Added Sq Ft, and Total Sq Ft.

a) 1st floor conditioned area — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
b) 2nd floor conditioned area — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
c) 3rd floor conditioned area — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
d) Basement — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
e) Attached Covered Parking (garage or carport) — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
f) Detached Covered Parking (garage or carport) — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
g) Covered Wood Decks (counted at 100%) — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
h) Covered Patio — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
i) Covered Porch — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
j) Balcony — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
k) Other – Specify: — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  

Total Building Area (TBA) (add: a through k) — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.

Total Building Coverage (TBC) (from TBA subtract, if applicable: b, c, d, and j) — Existing Sq Ft (A) 0.00, New/Added Sq Ft 0.00, Total Sq Ft (B) 0.00.

l) Driveway — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
m) Sidewalks — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
n) Uncovered Patio — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
o) Uncovered Wood Decks (counted at 50%) — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
p) AC pads and other concrete flatwork — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
q) Other (Pool Coping, Retaining Walls) — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  

Total Site Impervious Coverage (add: TBC and l through q) — Existing Sq Ft (C) 0.00, New/Added Sq Ft 0.00, Total Sq Ft (D) 0.00.

r) Pool — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.  
s) Spa — Existing Sq Ft 0.00, New/Added Sq Ft 0.00, Total Sq Ft 0.00.
